month,LEI,CEI,NBER,delta_1m_LEI,delta_3m_LEI,delta_6m_LEI,sign_delta_1m_LEI,sign_delta_3m_LEI,sign_delta_6m_LEI,color,sec_deriv_delta_6m
Ene-89,67.3,61.0,expansion,0.001488095,0.005979073,0.015082956,1,1,1,dark green,0.0015082949999999998
Feb-89,67.3,61.0,expansion,0.0,0.004477612,0.012030075,0,1,1,dark green,-0.0030528810000000003
Mar-89,67.0,61.0,expansion,-0.004457652,-0.00297619,0.006006006,0,0,1,dark green,-0.006024068999999999
Abr-89,67.1,61.1,expansion,0.001492537,-0.002971768,0.002989537,1,0,1,dark green,-0.0030164690000000004
May-89,66.9,60.9,expansion,-0.002980626,-0.005943536,-0.001492537,0,0,0,dark green,-0.004482074
Jun-89,66.8,61.0,expansion,-0.001494768,-0.002985075,-0.005952381,0,0,0,orange,-0.004459843999999999
Jul-89,66.5,60.8,expansion,-0.004491018,-0.008941878,-0.011887073,0,0,0,orange,-0.005934692
Ago-89,66.7,61.2,expansion,0.003007519,-0.002989537,-0.008915305,1,0,0,orange,0.0029717679999999996
Set-89,66.7,61.2,expansion,0.0,-0.001497006,-0.004477612,0,0,0,orange,0.004437693
Oct-89,66.5,61.2,expansion,-0.002998501,0.0,-0.008941878,0,0,0,orange,-0.004464266000000001
Nov-89,66.6,61.4,expansion,0.001503759,-0.00149925,-0.004484305,1,0,0,orange,0.004457573
Dic-89,66.6,61.5,expansion,0.0,-0.00149925,-0.002994012,0,0,0,orange,0.0014902930000000002
Ene-90,66.5,61.5,expansion,-0.001501502,0.0,0.0,0,0,0,orange,0.002994012
Feb-90,66.3,61.8,expansion,-0.003007519,-0.004504505,-0.005997001,0,0,0,orange,-0.005997001
Mar-90,66.4,62.0,expansion,0.001508296,-0.003003003,-0.004497751,1,0,0,orange,0.0014992499999999997
Abr-90,66.1,62.0,expansion,-0.004518072,-0.006015038,-0.006015038,0,0,0,orange,-0.001517287
May-90,66.1,62.1,expansion,0.0,-0.003016591,-0.007507508,0,0,0,orange,-0.00149247
Jun-90,66.1,62.2,expansion,0.0,-0.004518072,-0.007507508,0,0,0,orange,0.0
Jul-90,65.8,62.2,contraction,-0.004538578,-0.004538578,-0.010526316,0,0,0,orange,-0.0030188080000000004
Ago-90,64.8,62.2,contraction,-0.015197568,-0.019667171,-0.022624434,0,0,0,orange,-0.012098117999999998
Set-90,63.9,61.9,contraction,-0.013888889,-0.033282905,-0.037650602,0,0,0,red,-0.015026168
Oct-90,63.0,61.6,contraction,-0.014084507,-0.042553191,-0.046898638,0,0,0,red,-0.009248036000000001
Nov-90,61.8,61.3,contraction,-0.019047619,-0.046296296,-0.06505295,0,0,0,red,-0.018154312
Dic-90,61.1,61.2,contraction,-0.011326861,-0.043818466,-0.075642965,0,0,0,red,-0.010590015000000008
Ene-91,60.3,60.8,contraction,-0.01309329,-0.042857143,-0.083586626,0,0,0,red,-0.00794366099999999
Feb-91,60.1,60.7,contraction,-0.00331675,-0.027508091,-0.072530864,0,0,0,red,0.011055761999999997
Mar-91,59.9,60.6,contraction,-0.003327787,-0.019639935,-0.062597809,0,0,0,red,0.009933054999999996
Abr-91,60.4,60.8,expansion,0.008347245,0.001658375,-0.041269841,1,1,0,light green,0.021327968000000003
May-91,60.8,61.0,expansion,0.006622517,0.011647255,-0.01618123,1,1,0,light green,0.025088611
Jun-91,60.7,61.2,expansion,-0.001644737,0.013355593,-0.006546645,0,1,0,light green,0.009634585000000001
Jul-91,61.4,61.3,expansion,0.011532125,0.016556291,0.018242123,1,1,1,light green,0.024788768
Ago-91,61.5,61.3,expansion,0.001628664,0.011513158,0.023294509,1,1,1,light green,0.0050523860000000025
Set-91,62.0,61.5,expansion,0.008130081,0.021416804,0.035058431,1,1,1,light green,0.011763922
Oct-91,61.9,61.4,expansion,-0.001612903,0.008143322,0.024834437,0,1,1,light green,-0.010223994
Nov-91,61.9,61.4,expansion,0.0,0.006504065,0.018092105,0,1,1,light green,-0.006742332
Dic-91,61.8,61.4,expansion,-0.001615509,-0.003225806,0.018121911,0,0,1,light green,2.9806000000000277e-05
Ene-92,62.2,61.6,expansion,0.006472492,0.004846527,0.013029316,1,1,1,dark green,-0.005092595
Feb-92,62.4,61.8,expansion,0.003215434,0.008077544,0.014634146,1,1,1,dark green,0.0016048299999999998
Mar-92,63.0,62.0,expansion,0.009615385,0.019417476,0.016129032,1,1,1,dark green,0.0014948860000000008
Abr-92,63.4,62.2,expansion,0.006349206,0.019292605,0.024232633,1,1,1,dark green,0.008103600999999998
May-92,64.0,62.3,expansion,0.009463722,0.025641026,0.033925687,1,1,1,dark green,0.009693054000000003
Jun-92,64.4,62.5,expansion,0.00625,0.022222222,0.042071197,1,1,1,dark green,0.008145509999999995
Jul-92,64.7,62.7,expansion,0.004658385,0.020504732,0.040192926,1,1,1,dark green,-0.0018782710000000008
Ago-92,64.9,62.6,expansion,0.00309119,0.0140625,0.040064103,1,1,1,dark green,-0.00012882300000000013
Set-92,65.2,62.7,expansion,0.004622496,0.01242236,0.034920635,1,1,1,dark green,-0.005143467999999998
Oct-92,65.2,62.7,expansion,0.0,0.007727975,0.028391167,0,1,1,dark green,-0.006529468
Nov-92,65.7,62.9,expansion,0.007668712,0.012326656,0.0265625,1,1,1,dark green,-0.001828666999999999
Dic-92,66.6,63.9,expansion,0.01369863,0.021472393,0.034161491,1,1,1,dark green,0.007598991000000003
Ene-93,67.0,63.4,expansion,0.006006006,0.027607362,0.035548686,1,1,1,dark green,0.0013871950000000008
Feb-93,67.5,63.6,expansion,0.007462687,0.02739726,0.040061633,1,1,1,dark green,0.004512946999999996
Mar-93,67.5,63.4,expansion,0.0,0.013513514,0.035276074,0,1,1,dark green,-0.004785559000000002
Abr-93,67.9,63.7,expansion,0.005925926,0.013432836,0.041411043,1,1,1,dark green,0.006134969000000004
May-93,68.2,63.8,expansion,0.004418262,0.01037037,0.03805175,1,1,1,dark green,-0.0033592929999999993
Jun-93,68.4,63.9,expansion,0.002932551,0.013333333,0.027027027,1,1,1,dark green,-0.011024723000000004
Jul-93,68.5,64.0,expansion,0.001461988,0.008836524,0.02238806,1,1,1,dark green,-0.004638966999999997
Ago-93,69.0,64.1,expansion,0.00729927,0.011730205,0.022222222,1,1,1,dark green,-0.00016583800000000148
Set-93,69.4,64.2,expansion,0.005797101,0.014619883,0.028148148,1,1,1,dark green,0.0059259260000000015
Oct-93,69.8,64.3,expansion,0.005763689,0.018978102,0.027982327,1,1,1,dark green,-0.00016582100000000002
Nov-93,70.2,64.6,expansion,0.005730659,0.017391304,0.029325513,1,1,1,dark green,0.0013431859999999997
Dic-93,71.2,65.5,expansion,0.014245014,0.025936599,0.040935673,1,1,1,dark green,0.011610159999999998
Ene-94,71.2,65.1,expansion,0.0,0.020057307,0.039416058,0,1,1,dark green,-0.001519615000000002
Feb-94,71.5,65.3,expansion,0.004213483,0.018518519,0.036231884,1,1,1,dark green,-0.003184173999999998
Mar-94,72.5,65.7,expansion,0.013986014,0.018258427,0.044668588,1,1,1,dark green,0.008436704000000003
Abr-94,73.0,66.0,expansion,0.006896552,0.025280899,0.045845272,1,1,1,dark green,0.0011766839999999973
May-94,73.5,66.2,expansion,0.006849315,0.027972028,0.047008547,1,1,1,dark green,0.0011632749999999983
Jun-94,74.1,66.5,expansion,0.008163265,0.022068966,0.040730337,1,1,1,dark green,-0.006278209999999999
Jul-94,74.4,66.5,expansion,0.004048583,0.019178082,0.04494382,1,1,1,dark green,0.004213483000000004
Ago-94,75.1,67.0,expansion,0.009408602,0.021768707,0.05034965,1,1,1,dark green,0.00540583
Set-94,75.5,67.1,expansion,0.005326232,0.018893387,0.04137931,1,1,1,dark green,-0.00897034
Oct-94,76.1,67.5,expansion,0.00794702,0.022849462,0.042465753,1,1,1,dark green,0.0010864429999999994
Nov-94,76.3,67.8,expansion,0.002628121,0.015978695,0.038095238,1,1,1,dark green,-0.004370515000000005
Dic-94,76.8,68.1,expansion,0.00655308,0.017218543,0.036437247,1,1,1,dark green,-0.0016579909999999976
Ene-95,77.0,68.3,expansion,0.002604167,0.011826544,0.034946237,1,1,1,dark green,-0.001491010000000001
Feb-95,77.0,68.3,expansion,0.0,0.009174312,0.025299601,0,1,1,dark green,-0.009646635999999997
Mar-95,77.0,68.5,expansion,0.0,0.002604167,0.01986755,0,1,1,dark green,-0.005432051
Abr-95,77.1,68.4,expansion,0.001298701,0.001298701,0.013140604,1,1,1,dark green,-0.006726946000000001
May-95,77.2,68.6,expansion,0.001297017,0.002597403,0.011795544,1,1,1,dark green,-0.0013450600000000004
Jun-95,77.2,68.9,expansion,0.0,0.002597403,0.005208333,0,1,1,dark green,-0.006587211
Jul-95,77.2,68.7,expansion,0.0,0.001297017,0.002597403,0,1,1,dark green,-0.00261093
Ago-95,77.6,69.2,expansion,0.005181347,0.005181347,0.007792208,1,1,1,dark green,0.005194805
Set-95,77.9,69.4,expansion,0.003865979,0.009067358,0.011688312,1,1,1,dark green,0.003896103999999999
Oct-95,77.8,69.5,expansion,-0.001283697,0.007772021,0.009079118,0,1,1,dark green,-0.0026091939999999987
Nov-95,77.8,69.8,expansion,0.0,0.00257732,0.007772021,0,1,1,dark green,-0.001307097000000001
Dic-95,77.9,69.9,expansion,0.001285347,0.0,0.009067358,1,0,1,dark green,0.0012953369999999997
Ene-96,76.5,69.8,expansion,-0.017971759,-0.016709512,-0.009067358,0,0,0,dark green,-0.018134716
Feb-96,77.4,70.3,expansion,0.011764706,-0.005141388,-0.00257732,1,0,0,orange,0.006490037999999999
Mar-96,77.6,70.4,expansion,0.002583979,-0.003851091,-0.003851091,1,0,0,orange,-0.001273771
Abr-96,77.9,70.7,expansion,0.003865979,0.018300654,0.001285347,1,1,1,dark green,0.005136438
May-96,78.6,71.1,expansion,0.008985879,0.015503876,0.010282776,1,1,1,dark green,0.008997429000000001
Jun-96,79.1,71.4,expansion,0.006361323,0.019329897,0.015404365,1,1,1,dark green,0.005121588999999999
Jul-96,79.0,71.5,expansion,-0.001264223,0.014120668,0.032679739,0,1,1,dark green,0.017275374
Ago-96,79.2,71.7,expansion,0.002531646,0.007633588,0.023255814,1,1,1,dark green,-0.009423925
Set-96,79.5,72.0,expansion,0.003787879,0.00505689,0.024484536,1,1,1,dark green,0.0012287220000000015
Oct-96,79.8,72.1,expansion,0.003773585,0.010126582,0.024390244,1,1,1,dark green,-9.429200000000276e-05
Nov-96,80.4,72.5,expansion,0.007518797,0.015151515,0.022900763,1,1,1,dark green,-0.0014894809999999974
Dic-96,80.5,72.6,expansion,0.001243781,0.012578616,0.017699115,1,1,1,dark green,-0.005201648
Ene-97,81.0,73.0,expansion,0.00621118,0.015037594,0.025316456,1,1,1,dark green,0.007617341
Feb-97,82.1,73.5,expansion,0.013580247,0.021144279,0.036616162,1,1,1,dark green,0.011299706
Mar-97,82.4,73.8,expansion,0.00365408,0.023602484,0.036477987,1,1,1,dark green,-0.00013817499999999733
Abr-97,82.6,74.0,expansion,0.002427184,0.019753086,0.035087719,1,1,1,dark green,-0.001390268
May-97,83.2,74.2,expansion,0.007263923,0.013398295,0.034825871,1,1,1,dark green,-0.000261848000000002
Jun-97,83.8,74.6,expansion,0.007211538,0.016990291,0.040993789,1,1,1,dark green,0.006167918000000001
Jul-97,84.7,75.0,expansion,0.010739857,0.025423729,0.045679012,1,1,1,dark green,0.004685222999999995
Ago-97,85.1,75.3,expansion,0.00472255,0.022836538,0.036540804,1,1,1,dark green,-0.009138207999999995
Set-97,85.7,75.7,expansion,0.007050529,0.022673031,0.040048544,1,1,1,dark green,0.0035077399999999953
Oct-97,85.9,76.0,expansion,0.002333722,0.014167651,0.039951574,1,1,1,dark green,-9.697000000000178e-05
Nov-97,86.1,76.5,expansion,0.002328289,0.011750881,0.034855769,1,1,1,dark green,-0.005095804999999995
Dic-97,86.4,76.7,expansion,0.003484321,0.008168028,0.031026253,1,1,1,dark green,-0.0038295160000000016
Ene-98,86.5,77.1,expansion,0.001157407,0.006984866,0.021251476,1,1,1,dark green,-0.009774777000000002
Feb-98,87.4,77.5,expansion,0.010404624,0.015098722,0.027027027,1,1,1,dark green,0.005775551
Mar-98,87.6,77.8,expansion,0.00228833,0.013888889,0.022170362,1,1,1,dark green,-0.004856665
Abr-98,87.4,78.0,expansion,-0.002283105,0.010404624,0.017462165,0,1,1,dark green,-0.004708196999999997
May-98,87.9,78.4,expansion,0.005720824,0.005720824,0.020905923,1,1,1,dark green,0.003443757999999998
Jun-98,87.5,78.4,expansion,-0.004550626,-0.001141553,0.012731481,0,0,1,dark green,-0.008174442
Jul-98,87.7,78.4,expansion,0.002285714,0.003432494,0.013872832,1,1,1,dark green,0.0011413510000000005
Ago-98,87.7,79.0,expansion,0.0,-0.002275313,0.003432494,0,0,1,dark green,-0.010440338
Set-98,87.1,79.3,expansion,-0.006841505,-0.004571429,-0.005707763,0,0,0,orange,-0.009140257
Oct-98,86.6,79.6,expansion,-0.005740528,-0.012542759,-0.009153318,0,0,0,orange,-0.0034455550000000003
Nov-98,86.9,79.8,expansion,0.003464203,-0.009122007,-0.011376564,1,0,0,orange,-0.002223246
Dic-98,87.2,80.1,expansion,0.003452244,0.001148106,-0.003428571,1,1,0,orange,0.007947993
Ene-99,87.1,80.2,expansion,-0.001146789,0.005773672,-0.006841505,0,1,0,orange,-0.0034129340000000003
Feb-99,87.5,80.7,expansion,0.004592423,0.006904488,-0.002280502,1,1,0,orange,0.004561003000000001
Mar-99,87.5,80.8,expansion,0.0,0.003440367,0.004592423,0,1,1,orange,0.006872925
Abr-99,87.6,80.8,expansion,0.001142857,0.005740528,0.011547344,1,1,1,dark green,0.006954920999999999
May-99,88.1,81.2,expansion,0.005707763,0.006857143,0.013808976,1,1,1,dark green,0.0022616320000000013
Jun-99,88.4,81.4,expansion,0.003405221,0.010285714,0.013761468,1,1,1,dark green,-4.7507999999999925e-05
Jul-99,88.9,81.6,expansion,0.005656109,0.014840183,0.020665901,1,1,1,dark green,0.006904433
Ago-99,89.0,82.0,expansion,0.001124859,0.010215664,0.017142857,1,1,1,dark green,-0.0035230439999999995
Set-99,89.1,81.9,expansion,0.001123596,0.007918552,0.018285714,1,1,1,dark green,0.0011428570000000006
Oct-99,89.5,82.5,expansion,0.004489338,0.006749156,0.021689498,1,1,1,dark green,0.003403784
Nov-99,90.1,82.9,expansion,0.006703911,0.012359551,0.022701476,1,1,1,dark green,0.0010119780000000002
Dic-99,91.0,83.4,expansion,0.009988901,0.021324355,0.029411765,1,1,1,dark green,0.006710288999999998
Ene-00,91.7,83.8,expansion,0.007692308,0.024581006,0.031496063,1,1,1,dark green,0.0020842979999999983
Feb-00,91.2,83.7,expansion,-0.005452563,0.012208657,0.024719101,0,1,1,dark green,-0.0067769619999999975
Mar-00,92.1,84.2,expansion,0.009868421,0.012087912,0.033670034,1,1,1,dark green,0.008950933000000001
Abr-00,92.3,84.6,expansion,0.002171553,0.006543075,0.031284916,1,1,1,dark green,-0.0023851179999999986
May-00,91.4,84.6,expansion,-0.009750813,0.002192982,0.014428413,0,1,1,dark green,-0.016856503000000002
Jun-00,91.8,84.8,expansion,0.004376368,-0.003257329,0.008791209,1,0,1,dark green,-0.005637204
Jul-00,91.4,84.9,expansion,-0.004357298,-0.009750813,-0.003271538,0,0,0,dark green,-0.012062746999999999
Ago-00,90.9,85.0,expansion,-0.00547046,-0.00547046,-0.003289474,0,0,0,orange,-1.793600000000008e-05
Set-00,91.2,85.3,expansion,0.00330033,-0.006535948,-0.009771987,1,0,0,orange,-0.006482512999999999
Oct-00,90.2,85.2,expansion,-0.010964912,-0.013129103,-0.022751896,0,0,0,orange,-0.012979909000000001
Nov-00,89.7,85.1,expansion,-0.005543237,-0.01320132,-0.018599562,0,0,0,orange,0.004152334000000001
Dic-00,88.3,85.2,expansion,-0.015607581,-0.031798246,-0.038126362,0,0,0,red,-0.019526799999999997
Ene-01,87.6,85.2,expansion,-0.00792752,-0.028824834,-0.041575492,0,0,0,red,-0.0034491300000000016
Feb-01,86.5,85.2,expansion,-0.012557078,-0.03567447,-0.04840484,0,0,0,red,-0.006829347999999999
Mar-01,85.1,85.0,contraction,-0.016184971,-0.036240091,-0.066885965,0,0,0,red,-0.018481125000000008
Abr-01,84.1,84.7,contraction,-0.011750881,-0.039954338,-0.067627494,0,0,0,red,-0.0007415289999999908
May-01,84.3,84.6,contraction,0.002378121,-0.025433526,-0.060200669,1,0,0,red,0.007426824999999998
Jun-01,83.7,84.2,contraction,-0.007117438,-0.016451234,-0.05209513,0,0,0,red,0.008105538999999995
Jul-01,83.4,84.1,contraction,-0.003584229,-0.008323424,-0.047945205,0,0,0,red,0.004149925000000006
Ago-01,83.2,84.2,contraction,-0.002398082,-0.013048636,-0.038150289,0,0,0,red,0.009794916
Set-01,81.7,83.7,contraction,-0.018028846,-0.023894863,-0.039952996,0,0,0,red,-0.0018027070000000006
Oct-01,81.1,83.9,contraction,-0.007343941,-0.027577938,-0.035671819,0,0,0,red,0.004281176999999997
Nov-01,81.5,83.6,contraction,0.004932182,-0.020432692,-0.033214709,1,0,0,red,0.0024571099999999985
Dic-01,81.8,83.6,expansion,0.003680982,0.00122399,-0.022700119,1,1,0,light green,0.01051459
Ene-02,81.9,83.7,expansion,0.001222494,0.009864365,-0.017985612,1,1,0,light green,0.004714507
Feb-02,82.5,83.7,expansion,0.007326007,0.012269939,-0.008413462,1,1,0,light green,0.009572150000000001
Mar-02,83.0,83.8,expansion,0.006060606,0.014669927,0.015911873,1,1,1,light green,0.024325335
Abr-02,83.7,84.0,expansion,0.008433735,0.021978022,0.032059186,1,1,1,light green,0.016147313000000003
May-02,84.3,84.1,expansion,0.007168459,0.021818182,0.034355828,1,1,1,light green,0.0022966419999999946
Jun-02,84.5,84.4,expansion,0.002372479,0.018072289,0.033007335,1,1,1,dark green,-0.0013484929999999992
Jul-02,84.1,84.3,expansion,-0.004733728,0.004778973,0.026862027,0,1,1,dark green,-0.006145307999999999
Ago-02,84.3,84.4,expansion,0.002378121,0.0,0.021818182,1,0,1,dark green,-0.005043845000000002
Set-02,83.9,84.3,expansion,-0.004744958,-0.007100592,0.010843373,0,0,1,dark green,-0.010974808999999999
Oct-02,83.8,84.2,expansion,-0.001191895,-0.003567182,0.001194743,0,0,1,orange,-0.00964863
Nov-02,84.2,84.5,expansion,0.00477327,-0.00118624,-0.00118624,1,0,0,orange,-0.002380983
Dic-02,84.3,84.3,expansion,0.001187648,0.00476758,-0.002366864,1,1,0,orange,-0.0011806240000000001
Ene-03,84.4,84.5,expansion,0.00118624,0.007159905,0.003567182,1,1,1,dark green,0.005934046
Feb-03,84.2,84.2,expansion,-0.002369668,0.0,-0.00118624,0,0,0,dark green,-0.004753422
Mar-03,84.1,84.3,expansion,-0.001187648,-0.002372479,0.00238379,0,0,1,orange,0.00357003
Abr-03,83.9,84.2,expansion,-0.002378121,-0.005924171,0.001193317,0,0,1,orange,-0.0011904730000000003
May-03,84.7,84.6,expansion,0.009535161,0.005938242,0.005938242,1,1,1,dark green,0.004744925
Jun-03,85.4,84.8,expansion,0.008264463,0.015457788,0.013048636,1,1,1,dark green,0.007110394000000001
Jul-03,85.7,85.0,expansion,0.003512881,0.021454112,0.015402844,1,1,1,dark green,0.002354208
Ago-03,86.3,85.0,expansion,0.007001167,0.018890201,0.024940618,1,1,1,dark green,0.009537774
Set-03,87.3,85.3,expansion,0.011587486,0.022248244,0.038049941,1,1,1,dark green,0.013109322999999996
Oct-03,88.2,85.5,expansion,0.010309278,0.029171529,0.05125149,1,1,1,dark green,0.013201549
Nov-03,89.2,85.9,expansion,0.011337868,0.033603708,0.053128689,1,1,1,dark green,0.001877199000000003
Dic-03,90.1,85.8,expansion,0.010089686,0.03207331,0.055035129,1,1,1,dark green,0.0019064400000000023
Ene-04,91.0,85.7,expansion,0.009988901,0.031746032,0.061843641,1,1,1,dark green,0.006808511999999996
Feb-04,91.9,86.0,expansion,0.00989011,0.030269058,0.064889919,1,1,1,dark green,0.0030462780000000064
Mar-04,93.2,86.4,expansion,0.014145811,0.034406215,0.067583047,1,1,1,dark green,0.002693127999999989
Abr-04,93.4,86.5,expansion,0.002145923,0.026373626,0.058956916,1,1,1,dark green,-0.008626130999999995
May-04,94.3,86.9,expansion,0.009635974,0.026115343,0.057174888,1,1,1,dark green,-0.001782027999999998
Jun-04,94.9,86.8,expansion,0.006362672,0.018240343,0.05327414,1,1,1,dark green,-0.0039007480000000025
Jul-04,95.5,87.1,expansion,0.006322445,0.02248394,0.049450549,1,1,1,dark green,-0.0038235909999999942
Ago-04,96.0,87.3,expansion,0.005235602,0.018027572,0.044613711,1,1,1,dark green,-0.004836838000000003
Set-04,96.8,87.5,expansion,0.008333333,0.020021075,0.038626609,1,1,1,dark green,-0.005987102000000001
Oct-04,97.1,87.8,expansion,0.003099174,0.016753927,0.039614561,1,1,1,dark green,0.0009879520000000003
Nov-04,97.9,87.8,expansion,0.008238929,0.019791667,0.038176034,1,1,1,dark green,-0.001438527000000002
Dic-04,99.0,89.2,expansion,0.011235955,0.022727273,0.043203372,1,1,1,dark green,0.005027337999999999
Ene-05,99.6,88.4,expansion,0.006060606,0.025746653,0.042931937,1,1,1,dark green,-0.0002714349999999935
Feb-05,100.1,88.6,expansion,0.00502008,0.02247191,0.042708333,1,1,1,dark green,-0.00022360400000000225
Mar-05,99.9,88.6,expansion,-0.001998002,0.009090909,0.032024793,0,1,1,dark green,-0.010683539999999998
Abr-05,100.4,89.1,expansion,0.005005005,0.008032129,0.033985582,1,1,1,dark green,0.0019607889999999975
May-05,100.3,89.2,expansion,-0.000996016,0.001998002,0.024514811,0,1,1,dark green,-0.009470771
Jun-05,101.1,89.6,expansion,0.007976072,0.012012012,0.021212121,1,1,1,dark green,-0.0033026900000000005
Jul-05,101.2,89.7,expansion,0.00098912,0.007968127,0.016064257,1,1,1,dark green,-0.005147864000000002
Ago-05,101.9,89.8,expansion,0.006916996,0.015952144,0.017982018,1,1,1,dark green,0.0019177610000000005
Set-05,101.6,89.3,expansion,-0.002944063,0.004945598,0.017017017,0,1,1,dark green,-0.000965001
